closed_at_utc,symbol,side,qty,exit_price,gross_pnl_usdt,exit_fee_usdt,notional_usdt,role,planned_risk_usdt,strategy_tag,rule_violation,note
2025-07-02 05:59:17,BTCUSDT,short,1.1618,93126.8,-134.3,21.6389,108194.7,maker,150,B,,
2025-07-04 13:13:12,BTCUSDT,short,0.0565,94497.3,-255.59,1.0678,5339.1,maker,150,C,,
2025-07-06 13:01:19,BTCUSDT,short,0.5363,97798.5,-103.2,10.4899,52449.36,maker,150,A,,
2025-07-09 00:25:00,BTCUSDT,long,0.7547,97832.4,362.93,14.7668,73834.1,taker,150,B,,
2025-07-10 07:47:22,BTCUSDT,long,0.8985,98494.2,-108.12,17.6994,88497.03,maker,150,B,,
2025-07-11 06:06:15,BTCUSDT,long,0.6864,100621.8,354.84,13.8134,69066.83,maker,150,C,,
2025-07-11 14:05:30,BTCUSDT,short,1.1821,99561.3,-163.71,23.5383,117691.36,maker,150,C,,
2025-07-13 05:04:43,BTCUSDT,long,1.0676,96254.5,-118.98,20.5523,102761.27,taker,150,B,,
2025-07-15 07:06:23,BTCUSDT,long,0.7908,92085.1,-119.33,14.5642,72820.92,taker,150,C,,
2025-07-16 22:34:00,BTCUSDT,long,1.1349,95222.5,300.09,21.6136,108068.06,maker,150,C,,
2025-07-19 04:04:27,BTCUSDT,short,1.1208,93807.0,-63.71,21.0278,105138.84,taker,150,C,,
2025-07-19 10:23:19,BTCUSDT,long,0.6986,92970.3,-111.45,12.9898,64949.03,taker,150,C,,
2025-07-20 05:25:28,BTCUSDT,short,0.9051,90315.6,708.94,16.3489,81744.62,maker,150,C,,
2025-07-21 19:41:54,BTCUSDT,long,0.6773,90432.5,-265.96,12.25,61249.91,taker,150,A,,
2025-07-23 23:06:29,BTCUSDT,long,0.5829,87960.4,93.13,10.2544,51272.13,taker,150,B,,
2025-07-25 16:09:11,BTCUSDT,long,0.2013,88249.8,-108.16,3.5529,17764.68,taker,150,B,,
2025-07-26 08:04:18,BTCUSDT,long,0.3097,86367.5,-16.93,5.3496,26748.01,maker,150,C,,
2025-07-27 15:59:34,BTCUSDT,long,0.117,86754.1,-167.38,2.03,10150.23,maker,150,B,,
2025-07-29 11:09:15,BTCUSDT,short,0.466,85065.6,-172.86,7.9281,39640.58,maker,150,C,,
2025-07-30 16:23:47,BTCUSDT,short,0.6977,84653.6,287.96,11.8126,59062.82,taker,150,B,,
2025-08-01 12:36:20,BTCUSDT,short,1.1131,84366.6,177.88,18.7817,93908.47,maker,150,B,,
2025-08-03 13:45:33,BTCUSDT,long,1.0387,84723.1,-42.24,17.6004,88001.85,taker,150,B,,
2025-08-04 14:48:15,BTCUSDT,long,0.6081,83284.5,-127.03,10.1291,50645.32,taker,150,B,,
2025-08-05 02:45:06,BTCUSDT,long,0.9884,82669.2,-318.9,16.3421,81710.25,taker,150,A,,
2025-08-05 12:19:24,BTCUSDT,long,0.8375,80974.5,-222.33,13.5632,67816.18,maker,150,A,,
2025-08-07 17:55:25,BTCUSDT,short,0.2718,80973.1,220.77,4.4017,22008.49,maker,150,A,,
2025-08-10 02:27:50,BTCUSDT,long,0.1788,79731.4,-167.09,2.8512,14255.97,maker,150,A,,
2025-08-10 23:02:48,BTCUSDT,long,0.6093,81153.0,-97.5,9.8893,49446.53,maker,150,C,,
2025-08-12 01:06:44,BTCUSDT,long,1.0759,82973.0,-316.13,17.8541,89270.67,taker,150,C,,
2025-08-13 22:55:41,BTCUSDT,short,0.7518,82475.0,-287.37,12.4009,62004.73,taker,150,A,,
2025-08-15 05:29:57,BTCUSDT,short,0.8088,82850.2,-95.38,13.4019,67009.26,taker,150,A,,
2025-08-17 00:19:44,BTCUSDT,long,0.8454,83919.5,-118.1,14.1891,70945.58,maker,150,A,,
2025-08-17 20:44:09,BTCUSDT,short,0.9536,80504.2,-29.72,15.3538,76768.76,taker,150,A,,
2025-08-19 18:17:58,BTCUSDT,short,0.159,80059.8,-83.55,2.5459,12729.51,taker,150,C,,
2025-08-21 10:40:31,BTCUSDT,long,0.4759,79136.9,719.46,7.5323,37661.27,taker,150,B,,
2025-08-22 17:08:01,BTCUSDT,long,0.2121,82754.4,-237.56,3.5104,17552.2,taker,150,C,,
2025-08-24 14:08:22,BTCUSDT,long,0.6388,83257.1,687.92,10.6369,53184.62,maker,150,A,,
2025-08-26 16:14:08,BTCUSDT,short,1.0922,86942.0,30.34,18.9916,94958.05,taker,150,C,,
